id,text,created_at,author_id,like_count,reply_count,repost_count,quote_count,engagement,topic,source,empathy_score,empathy_label,emotion_top_1,emotion_top_2,emotion_top_3
1989518919762071937,They inherited an economy that the Economist called ‘the envy of the world’ . https://t.co/eAkwsl2qPr,2025-11-15 02:20:48+00:00,130557513,48,0,8,0,56,economics,x,0.10592531645670533,Cold / Hostile,anger,joy,sadness
1989518937059709192,"🈳🏊🍶🌎🚩
@PriyRaval is my investment savior! His recommendations have allowed my funds to steadily increase. Thank you for sharing!
#Economy #DayTrading $PTN
#Investing  🍑 $TSLA   #Dividend  🍭 $SMCI   #Marketbubble😛 $BULL   #DayTrading🚮 $MELI https://t.co/cktnsx1s04",2025-11-15 02:20:52+00:00,1967693422237798400,9,9,9,0,27,economics,x,0.997996759833768,Highly Empathetic,joy,love,sadness
1989518774517567901,"🧳💻🤨
You can follow @brogan_bill! I took his advice and entered the market at the right time, making $28,000 last week. Thanks to him!
#stock #SP500 $CHR 
#Dividend  🥰 $NVDA   #ValueStocks  🚭 $HOOD   #Economy🕕 $AMZN   $GLTO⏯ $BULL https://t.co/cogWAVgDqt",2025-11-15 02:20:13+00:00,1967299420405551104,9,9,9,0,27,economics,x,0.9871978140436113,Highly Empathetic,joy,anger,sadness
1989518823062679732,This was about war games,2025-11-15 02:20:25+00:00,72610934,15,0,0,0,15,war & foreign policy,x,0.003090016427449882,Cold / Hostile,anger,fear,joy
1989519084757586427,"I just witnessed the craziest thing I’ve ever seen in sports. Just 2 weeks ago, Manual defeated @MaleBulldogs by 39 points, 52-13. Tonight, with Male trailing 14-13 with 32 seconds left, the Bulldogs go for 2 and are successful. Manual misses a 50-yard field goal on the final",2025-11-15 02:21:27+00:00,26437395,4,1,2,0,7,technology & ai,x,0.9717537396354601,Highly Empathetic,joy,anger,sadness
1989518843954270533,USMNT squad believes Gio Reyna is ‘a lot more mature’ as big chance awaits https://t.co/PjyviGGeJO https://t.co/eIubYnvucO,2025-11-15 02:20:30+00:00,17469289,3,2,2,0,7,technology & ai,x,0.9991272787447087,Highly Empathetic,joy,love,sadness
1989519235081461854,"Just from a pure polling position, now is not the time for the President to go to war with members of Congress who are viewed favorably by the very OG MAGA and New MAGA voters at risk of fracturing off the Coalition.

Especially considering there aren't very many of them.",2025-11-15 02:22:03+00:00,165039823,2,0,3,0,5,war & foreign policy,x,0.9624427121598274,Highly Empathetic,joy,anger,fear
1989518734826856503,"YouTube TV, Disney dispute ends: Agreement reached to carry ESPN, ABC, others https://t.co/2T2PsDX5wn",2025-11-15 02:20:04+00:00,15764001,3,1,0,0,4,entertainment,x,0.30683080293238163,Detached / Neutral,anger,joy,sadness
1989518717378810102,"Sports culture evolves slowly, almost geologically.

Teams change, rules shift, but the emotional core stays the same.

@SCORProtocol fits into that long arc instead of fighting it.

It doesn’t try to reinvent fandom; it preserves it across time.

Your behaviors, instincts, and",2025-11-15 02:20:00+00:00,1527293945541427201,1,2,0,0,3,culture & identity,x,0.5740784890949726,Warm / Supportive,joy,sadness,love
1989518872400056373,"Maryville 47, Riverdale 18
1:00 4Q

Ty Tomberlin adds another score for the Rebels. @TDT_Sports https://t.co/G237hW3cgC",2025-11-15 02:20:37+00:00,2371845755,1,0,2,0,3,sports,x,0.9567374140024185,Highly Empathetic,joy,anger,sadness
